Difficulty,Seq 1,Seq 2,Seq 3,Seq 4,Seq 5,Seq 6,,Ans 1,Ans 2,Ans 3,Ans 4,Ans 5,,Correct Answer
18,4.0,864.0,108000.0,6912000.0,186624000.0,,,152776712.0,335836284.0,355457231.0,577758697.0,1492992000.0,,1492992000.0
4,8.0,32.0,128.0,512.0,2048.0,,,1913.0,3521.0,3569.0,5081.0,8192.0,,8192.0
10,5.0,0.71429,0.10204,0.01458,0.00208,,,-2.544,-2.042,-0.697,0.0003,2.493,,0.0003
7,7.0,11.0,20.0,24.0,33.0,37.0,,39.0,42.0,44.0,45.0,46.0,,46.0
4,6.0,18.0,54.0,162.0,486.0,,,476.0,798.0,824.0,1093.0,1458.0,,1458.0
18,4.0,864.0,108000.0,6912000.0,186624000.0,,,152776712.0,335836284.0,355457231.0,577758697.0,1492992000.0,,1492992000.0
12,8.0,1.33333,0.26667,0.06667,0.02222,,,-3.7955,-3.2288,-1.0659,0.01111,3.8266,,0.01111
20,9.0,1.5,0.3,0.075,0.025,,,-4.27,-3.632,-1.199,0.0125,4.305,,0.0125
27,8.0,0.125,0.01758,0.15822,12.81608,1.32411,,-18.9289,-1.6618,1.23121,4.2236,9.7196,,1.23121
15,1.0,217.0,342.0,406.0,433.0,,,376.0,441.0,451.0,474.0,595.0,,441.0
6,11.0,8.0,4.0,-1.0,-7.0,,,-14.0,-13.0,-12.0,-11.0,-10.0,,-14.0
17,8.0,12.0,28.0,29.0,38.0,38.0,,32.0,40.0,41.0,42.0,48.0,,42.0
15,2.0,21.0,43.0,50.33333,60.66666,64.1111,,63.1333,63.9629,70.3234,70.55554,83.874,,70.55554
6,7.0,21.0,84.0,420.0,2520.0,,,2237.0,4460.0,4519.0,6861.0,17640.0,,17640.0
6,5.0,30.0,150.0,600.0,1800.0,,,1765.0,2964.0,3105.0,3600.0,4022.0,,3600.0
18,2.0,-1.0,-2.0,-6.0,-7.33333,-11.66666,,-16.666,-14.977,-14.799,-13.466,-13.1111,,-13.1111
19,1.0,2.0,2.16667,-2.66666,-3.87499,-8.08332,,-13.6208,-10.6986,-10.18749,-10.1111,-8.3638,,-10.18749
10,17.0,4.25,1.0625,0.26562,0.06641,,,-6.826,-5.631,-1.846,0.0166,6.919,,0.0166
14,15.0,9.0,4.0,0.0,-3.0,,,-8.0,-6.0,-5.0,-4.0,-3.0,,-5.0
11,18.0,20.0,28.0,68.0,112.0,244.0,,226.0,339.0,358.0,378.0,434.0,,378.0
